Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,35.11928
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.865, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.865, 1.865, 100000]"
Number_of_blocking_spheres,0
POAV_A^3,13205.5
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.74497
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.29115
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-3.2894201492
adsorption_energy_widom_dev,0.0017505198
adsorption_energy_widom_unit,kJ/mol
henry_coefficient_average,1.12045e-06
henry_coefficient_dev,1.08614e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,False
is_porous,True
temperature,300
temperature_unit,K
