Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,33.871344
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.865, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.865, 1.865, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12736.2
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7185
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.24527
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-3.2927385378
adsorption_energy_widom_dev,0.002276593
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,2.6039633099
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,1.12087e-06
henry_coefficient_dev,1.36294e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0032278150433231, 0.0023787046060014, 0.0024626055863273, 0.0061455354276044, 0.011983345835247, 0.0064910827386526, 0.0093466261935413, 0.030624527657667, 0.017502015538691, 0.019601732392381, 0.031378110272379, 0.028123411807952, 0.016621755320155, 0.0095589008117231, 0.018482375532248, 0.03056378657702, 0.045463853825961, 0.0099476712837675], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.0240265941256, 0.08613858677732, 0.15688716596608, 0.22572011129888, 0.28679311609652, 0.36078853232928, 0.42910198373504, 0.49647385239804, 0.56878091336792, 0.62511353608132, 0.6922256577808, 0.76083132452052, 0.83304098037908, 0.8899580337604, 0.96486256436548, 1.0464231109108, 1.078761607869, 1.1234380855944], 'enthalpy_of_adsorption_dev': [0.22401728567509, 0.12478618642588, 0.068199022224439, 0.070602138468318, 0.10266823809167, 0.088174220315449, 0.030576596576123, 0.06154757925719, 0.077580903444663, 0.12671199687378, 0.080591994878318, 0.092722040690762, 0.03514096264332, 0.10725128665619, 0.065514878651069, 0.039808178061577, 0.12627768493344, 0.046606994088449], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-5.8535252301015, -5.8213649780084, -5.8277407231881, -5.8478281077216, -5.8553671231282, -5.8551816284619, -5.9172163328428, -5.895455089671, -5.9654664804237, -5.9788820433514, -5.9829128732134, -5.9787188313254, -6.0056274475568, -6.024004057436, -5.98839174212, -6.0388663291013, -6.0775691135999, -6.0431868332876]}"
temperature,300
temperature_unit,K
