Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,26.78196
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12920.6
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7289
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.2633
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.1786339563
adsorption_energy_widom_dev,0.0285604821
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,7.1428466883
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,4.95777e-06
henry_coefficient_dev,2.79348e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.005540748016767, 0.01013897073398, 0.011927285865674, 0.018429003781406, 0.055910120948711, 0.071256242274745, 0.073728797728257, 0.082964055187106, 0.12557582335846, 0.20124390144582, 0.15002862142222, 0.098746947899359, 0.27835069606421, 0.16642773989247, 0.20570454942732, 0.31569070363184, 0.16689033097104, 0.43008307509488], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.09604143976152, 0.39848431041012, 0.72962922052768, 1.0596702060503, 1.40425702153, 1.7579674491034, 2.1476528311242, 2.5178571908811, 2.8620219175451, 3.2141413949669, 3.6426264796636, 3.9426017541588, 4.7362261328237, 4.9928886011519, 5.4139384290178, 6.0379805088746, 6.4736411034385, 7.0327464424153], 'enthalpy_of_adsorption_dev': [0.26715591196694, 0.25034112394303, 0.19295141054102, 0.21737959475527, 0.29393819061635, 0.43681741538001, 0.46519604566278, 0.17677250920822, 0.36098944900352, 0.33014297473248, 0.32218130419961, 0.41420116734429, 0.34075966343236, 0.32974126362525, 0.25334219650296, 0.27890186492396, 0.3325389156336, 0.42032942555686], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.578775618801, -11.755116277136, -11.979718806382, -12.055034130686, -12.320266809675, -12.443530551329, -12.625910220914, -12.544626142193, -12.73897449968, -12.873273718956, -13.291465998187, -13.086137537103, -13.66754325576, -13.986740082978, -14.029535224032, -14.1785763222, -14.468541983654, -14.726844678357]}"
temperature,300
temperature_unit,K
